Banks Lake South|47.6315|-119.276|US|Washington|270
Kent|47.3887|-122.2128|US|Washington|128458
Bickleton|46.0056|-120.3081|US|Washington|67
Ryderwood|46.375|-123.0441|US|Washington|332
Cavalero|47.9845|-122.0746|US|Washington|5284
La Conner|48.3925|-122.4945|US|Washington|3475
Martha Lake|47.848|-122.2326|US|Washington|18566
George|47.0845|-119.8598|US|Washington|507
Snohomish|47.9277|-122.097|US|Washington|10089
Eatonville|46.8682|-122.2698|US|Washington|3038
Carson|45.7353|-121.8219|US|Washington|2688
Almira|47.7105|-118.9369|US|Washington|276
Nooksack|48.9276|-122.3211|US|Washington|1560
Mount Vista|45.7373|-122.6315|US|Washington|8525
High Bridge|47.7968|-122.0281|US|Washington|3028
Lakeland South|47.2784|-122.2831|US|Washington|13982
Kenmore|47.7532|-122.2459|US|Washington|22867
Neah Bay|48.3612|-124.6115|US|Washington|994
Cliffdell|46.9213|-121.042|US|Washington|80
Port Angeles East|48.1041|-123.3695|US|Washington|3627
Burien|47.4762|-122.3393|US|Washington|51671
Taholah|47.3283|-124.2728|US|Washington|714
Wauna|47.386|-122.6694|US|Washington|4412
Connell|46.6624|-118.8405|US|Washington|5360
Disautel|48.345|-119.2299|US|Washington|22
Santiago|47.2975|-124.2327|US|Washington|26
Orting|47.0966|-122.2111|US|Washington|7983
Colville|48.5454|-117.8986|US|Washington|5064
Marysville|48.081|-122.1558|US|Washington|166541
Walla Walla|46.0669|-118.3365|US|Washington|57779
Zillah|46.4083|-120.2717|US|Washington|3125
Curlew|48.8777|-118.6045|US|Washington|149
Key Center|47.3376|-122.7505|US|Washington|3810
Hoodsport|47.402|-123.1542|US|Washington|331
Spanaway|47.0979|-122.4233|US|Washington|30528
Mattawa|46.7364|-119.9019|US|Washington|5122
Clallam Bay|48.2536|-124.2579|US|Washington|366
Prairie Ridge|47.1443|-122.1408|US|Washington|12733
Rockport|48.4854|-121.6065|US|Washington|76
Stansberry Lake|47.3814|-122.7154|US|Washington|2747
Copalis Beach|47.1205|-124.1722|US|Washington|559
Frederickson|47.0914|-122.3594|US|Washington|21737
Asotin|46.3371|-117.0433|US|Washington|1295
Mill Creek|47.8633|-122.2034|US|Washington|20832
Bell Hill|48.055|-123.087|US|Washington|875
Green Bluff|47.819|-117.277|US|Washington|544
Clayton|48.0013|-117.5612|US|Washington|361
Puyallup|47.1794|-122.2902|US|Washington|41001
Hockinson|45.7301|-122.4833|US|Washington|5267
Lake McMurray|48.3129|-122.2317|US|Washington|134
Bucoda|46.7968|-122.868|US|Washington|583
Issaquah|47.542|-122.0444|US|Washington|37487
Odessa|47.3326|-118.6895|US|Washington|876
Hazel Dell|45.6797|-122.6553|US|Washington|21449
McMillin|47.1286|-122.2374|US|Washington|1673
Wilbur|47.7583|-118.711|US|Washington|839
Skamokawa Valley|46.3004|-123.4243|US|Washington|300
Centerville|45.754|-120.9081|US|Washington|109
Nile|46.8368|-120.9455|US|Washington|98
Spokane Valley|47.6625|-117.2346|US|Washington|97847
Woodland|45.9149|-122.7503|US|Washington|6531
Lewisville|45.8127|-122.5144|US|Washington|1503
Vantage|46.9453|-119.9923|US|Washington|18
Gorst|47.5237|-122.7057|US|Washington|257
Lake Morton-Berrydale|47.3325|-122.103|US|Washington|11201
Ione|48.7402|-117.4223|US|Washington|459
Bothell West|47.8056|-122.24|US|Washington|20472
Vaughn|47.355|-122.7773|US|Washington|342
Black Diamond|47.313|-122.0181|US|Washington|4436
